"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Free ETHEREUM Giveaway from Vitalik Buterin, wow!! Already got 15 :D https://t.co/mVOPj9RGYM

$eth $btc $xrp $ltc… https://t.co/DGWqCbkNFl",FALSE,1,NA,2018-03-04 23:59:58,TRUE,NA,"970448800954372098",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Conciencia_Crea",0,FALSE,FALSE,NA,NA
"2","RT @PatWielandLIVE: We’re getting closer! #digibyteoneclickminer some final UI tweaks and design fixes but we should live with version 1 ve…",FALSE,0,NA,2018-03-04 23:59:58,FALSE,NA,"970448799708712960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","synagoge_fons",91,TRUE,FALSE,NA,NA
"3","#Bittrex Bot Take Profit
Sold $STRAT at <U+0243>0.0007489
Profit: <U+0243>0.00230455
Amount: 136.60642323 $STRAT
Total: <U+0243>0.102304… https://t.co/q3hCxwGVPk",FALSE,0,NA,2018-03-04 23:59:58,TRUE,NA,"970448798857142272",NA,"<a href=""https://www.coinfatherapp.com/"" rel=""nofollow"">CoinFather</a>","Coin_Father",0,FALSE,FALSE,NA,NA
"4","Poll Shows People Want An Amazon Cryptocurrency, Starbucks Hints Of A Blockchain App https://t.co/GvkKID2XW9… https://t.co/INLaFZqkyI",FALSE,0,NA,2018-03-04 23:59:51,TRUE,NA,"970448771141091329",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","CryptoCurrent",0,FALSE,FALSE,NA,NA
"5","RT @Egon_01: Bitcoin Cash

""We support Satoshi Nakamoto’s vision of #bitcoin as TRUSTLESS, PERMISSIONLESS, PEER TO PEER CASH SYSTEM. (No re…",FALSE,0,NA,2018-03-04 23:59:51,FALSE,NA,"970448769849294848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Luxo8555",19,TRUE,FALSE,NA,NA
"6","RT @ViceToken: Yes - really! You will soon be able to Get Paid to Watch Porn®
Head on over to our website to get your hands on some tokens…",FALSE,0,NA,2018-03-04 23:59:49,FALSE,NA,"970448761045491713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","glossytransferr",759,TRUE,FALSE,NA,NA
"7","RT @IBMBlockchain: The first generation to mature alongside the internet, #millennials are a distinctly tech-savvy group when it comes to #…",FALSE,0,NA,2018-03-04 23:59:48,FALSE,NA,"970448755630645248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hashitom4work",29,TRUE,FALSE,NA,NA
"8","Our trading signal service sold #Pillar with 6,79% profit.
Connect with @CryptoDealingdeskBot on Telegram to trade… https://t.co/pnIKedVhgJ",FALSE,5,NA,2018-03-04 23:59:42,TRUE,NA,"970448732264288257",NA,"<a href=""https://www.cryptodealingdesk.com"" rel=""nofollow"">Crypto Dealingdesk</a>","cryptodealingd",0,FALSE,FALSE,NA,NA
"9","RT @TheMossland: The world-famous expert Cliff High believes that 2018 and 2019 will be the most lucrative years in the history of cryptocu…",FALSE,0,NA,2018-03-04 23:59:38,FALSE,NA,"970448714782289920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MoMoCinamon",741,TRUE,FALSE,NA,NA
"10","Sign up for #airdrop #link #Cryptocurrency #freecoin #eth #btc #bounty #giveawayalert. https://t.co/IQsmwTrxk9",FALSE,0,NA,2018-03-04 23:59:36,FALSE,NA,"970448706129616896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Okonkwochike",0,FALSE,FALSE,NA,NA
"11","RT @ViceToken: Yes - really! You will soon be able to Get Paid to Watch Porn®
Head on over to our website to get your hands on some tokens…",FALSE,0,NA,2018-03-04 23:59:35,FALSE,NA,"970448702669139968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wandbox",759,TRUE,FALSE,NA,NA
