"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ericgarland @FBI @NSAGov @NeonaziWallets @20committee #Cryptocurrency forms one initial map. Starting w/personal i… https://t.co/6K2pqismD4",FALSE,26,"Dry_Observer",2018-03-17 23:59:56,TRUE,"975159608951099392","975159834189422593","3083379578","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dry_Observer",7,FALSE,FALSE,NA,NA
"2","RT @AdosiaIO: #GREEN tips from the BluPonix crew. Happy #stpatricksday from Team Adosia. The leaders in #decentralized #iot #hydroponic #ga…",FALSE,0,NA,2018-03-17 23:59:55,FALSE,NA,"975159828879421440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","serkan7554",291,TRUE,FALSE,NA,NA
"3","RT @SwapyNetwork: <ed><U+00A0><U+00BD><ed><U+00B3><U+00A2> 2 DAYS | Swapy Network ICO Presale will start on March 19! <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F> Join our Telegram:[ https://t.co/AZQ0B05DhI ] to…",FALSE,0,NA,2018-03-17 23:59:53,FALSE,NA,"975159822160203776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","higgenbotham20",1133,TRUE,FALSE,NA,NA
"4","RT @ahmedjr_16: 13 Best #CryptoCurrency Investment Courses for #Business

https://t.co/R4HKjnV3qq 

#CryptoCurrencies #Blockchain #Etherum…",FALSE,0,NA,2018-03-17 23:59:53,FALSE,NA,"975159820905979904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reinforcelabtwt",14,TRUE,FALSE,NA,NA
"5","RT @EuropeanCryptoB: Meet Olivier Forgues, CEO European Crypto Bank in Berlin next week
https://t.co/jyLNK3qNQM
#blockchain #ICO #cryptocur…",FALSE,0,NA,2018-03-17 23:59:52,FALSE,NA,"975159815549964288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RahisAria",1087,TRUE,FALSE,NA,NA
"6","RT @bloknetwork: The outpouring of support from our community is amazing. Our Twitter is now 20k strong! To celebrate, tell us your favorit…",FALSE,0,NA,2018-03-17 23:59:52,FALSE,NA,"975159815289831424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","icafoGar",807,TRUE,FALSE,NA,NA
"7","RT @tigereumtokens: Message Money to friends and family in Nigeria on Facebook https://t.co/FjWTFmPTSa or Telegram https://t.co/1KgOh7Tomf…",FALSE,0,NA,2018-03-17 23:59:51,FALSE,NA,"975159814056800256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","discountsfallen",1288,TRUE,FALSE,NA,NA
"8","RT @MINERPOOL_NET: A $PIRL Masternode Owners Point of View, about the @PirlOfficial Project, first Ethash Masternodes and the Community:

h…",FALSE,0,NA,2018-03-17 23:59:47,FALSE,NA,"975159797434716161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","higa1802",2509,TRUE,FALSE,NA,NA
"9","RT @LT_Crypto: One of the most potential cryptocurrency you can invest in.

Buy the dip and hold some Ignition Coin, available on Cryptopia…",FALSE,0,NA,2018-03-17 23:59:46,FALSE,NA,"975159791055245312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamisD",9,TRUE,FALSE,NA,NA
"10","RT @PeerMountain: Hey guys! We found a really good, neutral and thorough review of Peer Mountain! Check it out!

#blockchain #cryptocurrenc…",FALSE,0,NA,2018-03-17 23:59:46,FALSE,NA,"975159789310259201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","weddingwhitenes",1419,TRUE,FALSE,NA,NA
"11","RT @ubcoin: Manny Pacquiao, a world champion in boxing and now a Philippine senator, has started to venture into the world of cryptocurrenc…",FALSE,0,NA,2018-03-17 23:59:45,FALSE,NA,"975159786865156096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pounddelivering",345,TRUE,FALSE,NA,NA
"12","RT @CryptooSID: For the best #Dice Experience join #Luckygames =&gt; https://t.co/AsUxfiUt0x  

New #Retweet Contest: (Details in pic)

+Play…",FALSE,0,NA,2018-03-17 23:59:44,FALSE,NA,"975159784616878080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vashtiberardi7",3088,TRUE,FALSE,NA,NA
"13","RT @eozofficial: EOZ envisions a TRUE decentralized global lending marketplace designed to reduce barriers to cryptocurrency investing.",FALSE,0,NA,2018-03-17 23:59:39,FALSE,NA,"975159763750318080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mostquan_Sigra",2173,TRUE,FALSE,NA,NA
"14","RT @tradershub_io: JUST 10 DAYS LEFT! 
You can buy Tradershub Tokens on <ed><U+00A0><U+00BD><ed><U+00B1><U+0089>https://t.co/0rR8oWrN5g 
Thanks a lot for your continued support!…",FALSE,0,NA,2018-03-17 23:59:38,FALSE,NA,"975159759459373056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","trihadinasrul",159,TRUE,FALSE,NA,NA
"15","RT @dbrainio: For crowdworkers, Dbrain provides a user-friendly labeling and validation tool based on web application and Telegram bot. #Bl…",FALSE,0,NA,2018-03-17 23:59:36,FALSE,NA,"975159747778195456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zin_afan",2931,TRUE,FALSE,NA,NA
"16","RT @GrandToken: Airdrop
Total supply : 50,000,000 
Symbol: GRDT

1. Follow 
2. Like
3. Retweet 
4. Comment your ETH address (Only 5000 peop…",FALSE,0,NA,2018-03-17 23:59:35,FALSE,NA,"975159745983246336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","atoluwalonimi",1549,TRUE,FALSE,NA,NA
"17","RT @LemoChain: Have you signed up for our LEMO Token ICO? 
Head over now to https://t.co/M5fMqFnFtW and complete the KYC application to be…",FALSE,0,NA,2018-03-17 23:59:31,FALSE,NA,"975159726504906753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","princeoche2",1160,TRUE,FALSE,NA,NA
"18","Meyer Amschel lost both his parents at the age of eleven, and had to fight his way through life single-handed, in m… https://t.co/o8jyR6cs7r",FALSE,0,NA,2018-03-17 23:59:26,TRUE,NA,"975159707655725059",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","haroonhaider",1,FALSE,FALSE,NA,NA
